title,compay,location,link
[11번가] 리테일 상품 Selection Planning 담당자,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=c6abf7f3c7f6b984
프론트엔드 개발자/디자이너/기획/마케터 정직원,마이플래닛,성남 수정구,https://kr.indeed.com/viewjob?jk=e742db63ad7e269f
경복대학교 혁신지원사업단,경복대학교,경기도 포천,https://kr.indeed.com/viewjob?jk=bd15e84f83648ad8
시니어 백엔드 개발자(Python),FASTFIVE,서울 강남구,https://kr.indeed.com/viewjob?jk=fae823e1abcdb5f4
[농심ENG] 신입/경력사원 정기채용,농심그룹,서울 신대방동,https://kr.indeed.com/viewjob?jk=1d0e51e2e431995b
2022년 7월 경력사원 (설비기술),LG에너지솔루션,충청북도 청주,https://kr.indeed.com/viewjob?jk=c7ebd04f9b357fea
금융 AI (시장 이해) 연구 개발자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=12364d487c1288ca
개발 인프라 구축 및 운영 담당자,안랩,성남 분당구,https://kr.indeed.com/viewjob?jk=d584f81f03fa0403
Graduate Student Intern,Intel,서울,https://kr.indeed.com/viewjob?jk=b7e9e9d0811a05bd
Application Engineer Korea,IMS Nanofabrication,충청북도 청주,https://kr.indeed.com/viewjob?jk=b81ddcc3978545fa
"인포테인먼트 기획[연구원, 책임연구원]",현대자동차그룹,서울 강남구,https://kr.indeed.com/viewjob?jk=443ec988734171bc
Software Engineer,GE Healthcare,경기도 성남,https://kr.indeed.com/viewjob?jk=13b675c6f73ff110
하반기 신입(채용 연계형 인턴) 수시채용,홈앤쇼핑,서울 마곡동,https://kr.indeed.com/viewjob?jk=79fb95da6dff4025
웹 스크래핑 개발자 영입,카카오페이,성남 분당구,https://kr.indeed.com/viewjob?jk=9599ecb61b39136a
[램플코딩학원] 온오프라인 코딩 강사,밸류에잇 벤처스,대전 서구,https://kr.indeed.com/viewjob?jk=3415a2ec10f41d98
"[대기업] 딥러닝 (AI, 영상인식) 전문가 (석박사급)",비에이블컨설팅그룹,서울,https://kr.indeed.com/viewjob?jk=4dbb7e94a2ac3b81
"스팸 및 어뷰징 분석/대응(서버개발, 머신러닝)",카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=8e8514f7d5b659f6
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=8af26b37623864c4
셀프 인테리어 위한 AI 플랫폼 서비스 개발자,서르,성남 분당구,https://kr.indeed.com/viewjob?jk=0a57a69a13126ff5
[Cartier] Data Analyst,Cartier,서울,https://kr.indeed.com/viewjob?jk=26c133b0874ce9ce
[디엠씨코넷] 메타버스 구축 위한 XR 콘텐츠 프로그래밍 과정 교육생,링크드코리아,서울,https://kr.indeed.com/viewjob?jk=d53ce378550fadd9
데이터 기반 의사결정 지원 서비스 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=147950fbb2b36ce3
생명정보학 부문 박사졸 선임연구원 정규직 정규직,카이팜,서울 서대문구,https://kr.indeed.com/viewjob?jk=3cd339cf8959f44d
BRAIN Researcher,WorldQuant,서울,https://kr.indeed.com/viewjob?jk=e68d3e5ddd3fd104
"Deep Learning Engineer 딥러닝 엔지니어 계약직, 전문연구요원 전문연",클레온,서울 성동구,https://kr.indeed.com/viewjob?jk=7b0b1d6bf1b37ed4
[포티투마루] 인공지능(AI) 챗봇사업부 전 직군,포티투마루,서울 서초구,https://kr.indeed.com/viewjob?jk=a92b737cbbdf425f
스마트 교통 시스템 S/W 개발자 (신입),몹티콘,서울 구로구,https://kr.indeed.com/viewjob?jk=b3206850d3155b47
"Customer Engineer, Data Analytics, Google Cloud",Google,서울,https://kr.indeed.com/viewjob?jk=4800ed0bd1febca9
[정보보안] 모의해킹[책임매니저],현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=78e77be539dbf026
응용 프로그래머,더원제어계측,포항 북구,https://kr.indeed.com/viewjob?jk=63fbc0bc57e24943
"[IT] 서버 엔지니어[매니저, 책임매니저]",현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=d4d03b82f1fd02af
IT 인프라 운영 도구 개발,NHN Cloud,성남 판교역,https://kr.indeed.com/viewjob?jk=ba6a0ebb6ad9cd18
Software Engineer,Maxim Integrated,서울,https://kr.indeed.com/viewjob?jk=4dc59712378908df
[통합예약솔루션사업부문] 웹 서비스/운영 주니어 개발자. 경력직,에이치투오호스피탈리티,서울 강남구,https://kr.indeed.com/viewjob?jk=77bd7c75f9015ecf
[신입/경력] 의료영상/음성인식/생체신호 연구원,뷰노코리아,서울 서초구,https://kr.indeed.com/viewjob?jk=c35e9b72a11aa338
클라우드 보안 엔지니어,뱅크샐러드,서울 영등포구,https://kr.indeed.com/viewjob?jk=1821f45d4b71b3d8
HR Data Analyst,에스케이머티리얼즈,서울,https://kr.indeed.com/viewjob?jk=5875aa3e46b4f383
(주)작당모의 앱 개발자,작당모의,서울 서초구,https://kr.indeed.com/viewjob?jk=bec33b19427238a4
데이터 엔지니어/클라우드 엔지니어/데이터 플랫폼 개발분야 경력사원,LG전자,서울특별시,https://kr.indeed.com/viewjob?jk=f870e8c6ab4babcf
"AI: 데이터분석 통한 예측모델링, 알고리즘, 개인화 추천 전문가 (과장/대리급), TOP금융그룹 투자",코어포인트,서울 영등포구,https://kr.indeed.com/viewjob?jk=228e6b23849c5128
2022년 7월 경력사원 (SCM),LG에너지솔루션,서울,https://kr.indeed.com/viewjob?jk=08c907cde463d712
[11번가] 빅데이터 처리 시스템 개발 분야,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=42f931a3af46e1cd
카카오 전사QA 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=9d0aa83c1e8f086e
2022년 7월 경력사원 (구매),LG에너지솔루션,서울,https://kr.indeed.com/viewjob?jk=4bd25141ca1b8639
[2022 전문연구요원] AI R&D - Language AI,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=192c20f6f0f64ab3
금융 AI (투자 전략) 연구 개발자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=d5d5600ca2b08f72
2022년 7월 경력사원 (품질),LG에너지솔루션,충청북도 청주,https://kr.indeed.com/viewjob?jk=04d60adf36c8602d
2022년 7월 경력사원 (공술),LG에너지솔루션,충청북도 청주,https://kr.indeed.com/viewjob?jk=8427ee2005e15603
소프트웨어(SW) 개발,리버트론,서울 영등포구,https://kr.indeed.com/viewjob?jk=21a968652918907e
한국통계정보원 통계 분야 직원(경력),재단법인 한국통계정보원,대전 서구,https://kr.indeed.com/viewjob?jk=3f942ebf840f7acd
[11번가] 데이터 아키텍처 분야,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=5da880ec62889daf
[마비노기모바일] 연구 개발 프로그래머,데브캣,서울 강남구,https://kr.indeed.com/viewjob?jk=f0c7c08485085240
서버 개발자 Python(Django) Developer (경력),아테나스랩,서울 마포구,https://kr.indeed.com/viewjob?jk=53c7c22b9dacbbe3
[주4.5일] 딥러닝 연구 개발자,인라이플,서울 구로구,https://kr.indeed.com/viewjob?jk=b7404340e4697466
금융공학연구소 신입/경력 (전문연구요원 포함) ~7/17(일) 마감,연합인포맥스,서울 종로구,https://kr.indeed.com/viewjob?jk=6a483ff92a30fbb9
2022년 7월 경력사원 (제조지능화),LG에너지솔루션,충청북도 청주,https://kr.indeed.com/viewjob?jk=26e18b8d1527c4da
ITエンジニア,(株)ecoletree,서울,https://kr.indeed.com/viewjob?jk=547f3779e9910dfa
데이터 전문가(모델러/분석가/엔지니어) 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=ac9068957c550cb3
[SW개발] AI 알고리즘 엔지니어 계약직 담당자 (경력/계약),케이씨텍,경기도 화성,https://kr.indeed.com/viewjob?jk=83dcb6b238b71998
악성코드 및 엔드포인트 보안 엔지니어 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=5776f077ba7b8529
AI 비정형 모델 개발,신한에이아이,서울 영등포구,https://kr.indeed.com/viewjob?jk=5b94564df8d37e65
[인재 Pool / 상시 / 신입] R&D 박사,앰코테크놀로지코리아,인천 연수구,https://kr.indeed.com/viewjob?jk=effbbb23f6fae87d
[신입] 미래 인재 DB,현대오토에버,서울,https://kr.indeed.com/viewjob?jk=661cf773d598862b
Machine Learning R&D 연구원,카이어,서울 서초구,https://kr.indeed.com/viewjob?jk=19da3484bd7a72f1
Python Developer (Internal Product),비바리퍼블리카,서울 강남구,https://kr.indeed.com/viewjob?jk=dc05a8dff101cd4a
Data Analyst,Toss,서울,https://kr.indeed.com/viewjob?jk=908837db33774c3e
KAIST 문화기술연구소 비주얼미디어연구실(노준용 교수) 연수연구원(Post-doc) 모집 공고,카이스트,대전 유성구,https://kr.indeed.com/viewjob?jk=ce90ce8908071fe6
Software,ASML,대한민국,https://kr.indeed.com/viewjob?jk=c7c700a8d7bd4b6e
Software Engineer - Python and K8s,Canonical - Jobs,서울,https://kr.indeed.com/viewjob?jk=9e154b5b00d09b31
R&D분야 경력사원 (마곡/대전),LG화학,서울특별시,https://kr.indeed.com/viewjob?jk=5a08e103f073e6b1
5G RAN R&D 소프트웨어 개발자 신입/경력 (0명 채용),Ericsson,서울,https://kr.indeed.com/viewjob?jk=a9dc1b541530f1d2
[IT] 경영지원 분야 빅데이터 분석(데이터 사이언티스트)[매니저],현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=579c7166d9139d58
PM(서비스/개발),현대카드 캐피탈,서울 영등포구,https://kr.indeed.com/viewjob?jk=bfdab41ec9b9469f
"Data Scientist, Mid",Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/viewjob?jk=c5134343b5cb05e0
[AI R&D] Language AI(NLP) Research 분야 수시(22년2차) 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=e3317c0f4c0e4e13
딥엑스 NPU SDK (DXNN) 개발 엔지니어,딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=8e91aa6c93de1790
데이터 엔지니어 및 사이언티스트,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=d8a8869ab092f731
R&D 개발 신입 채용,연합인포맥스,서울 수송동,https://kr.indeed.com/viewjob?jk=90fbc1c2488bed24
[IT] 고객데이터 서비스 플랫폼 기획[책임매니저],현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=3a7627d63e147bb0
빅데이터 센터 IT 경력직/신입 채용공고,한림대학교성심병원,대한민국,https://kr.indeed.com/viewjob?jk=502af034f2e83e4f
IT Ops Engineer,비바리퍼블리카,서울 강남구,https://kr.indeed.com/viewjob?jk=2cd6860adc411a59
"Mondrian AI개발자 (Web, 프론트엔드, 백엔드)",몬드리안에이아이,인천 연수구,https://kr.indeed.com/viewjob?jk=371a62fc01c63519
[데이터 프로덕트] 데이터 엔지니어 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=f94fd2fd0e93cb5c
[NHN DATA] 데이터처리 플랫폼 개발자 경력,엔에이치엔데이터,성남 분당구,https://kr.indeed.com/viewjob?jk=71ddb237f5156dc7
[NHN SOFT] Back-End 경력 개발자,엔에이치엔소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=3617e30a1af44426
[디엠씨코넷] 지능형 로봇 서비스 개발 위한 소프트웨어 개발자 양성 & 취업연계 과정 교육생,링크드코리아,대전,https://kr.indeed.com/viewjob?jk=b7e3530400277d27
[NAVER Cloud] MLOps 서비스 개발,네이버클라우드,성남 분당구,https://kr.indeed.com/viewjob?jk=df89a191c84f2995
"[양재역] AI/빅데이터 Data Scientist (석,박사)",시니어앤파트너즈,서울 서초구,https://kr.indeed.com/viewjob?jk=bdcfb8150f3beed4
[중견코스닥] 기술혁신 팀장급,커리어서포트,청주 청원구,https://kr.indeed.com/viewjob?jk=693d69ffcb5aa90d
DNN 모델 개발 엔지니어,딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=303d8c644a5f2e0f
Technical Support Engineering-AKS,Microsoft,서울,https://kr.indeed.com/viewjob?jk=6d4c339f382395ab
백엔드 개발자,신한에이아이,서울 영등포구,https://kr.indeed.com/viewjob?jk=7328ad393e24a4df
블록체인 기반 신규 서비스 개발자 (신입/경력),게임빌컴투스플랫폼,서울 금천구,https://kr.indeed.com/viewjob?jk=5ad569709941c60f
패션고 추천 플랫폼 개발/데이터 엔지니어링,NHN FashionGo korea,성남 판교역,https://kr.indeed.com/viewjob?jk=135ebaa09a535c7e
[IPSOS] 온라인 버즈 빅데이터 분석 경력 연구원/인턴,입소스 (IPSOS),서울 중구,https://kr.indeed.com/viewjob?jk=177f5e94adccf4dc
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/viewjob?jk=71c47ac87bb4087e
[NAVER Cloud] Media 서비스 개발,네이버클라우드,성남 분당구,https://kr.indeed.com/viewjob?jk=c7f844f9e68deab7
[Env스튜디오] DX/EX 플랫폼 솔루션/시스템 엔지니어,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=428506f80286b27a
자산운용팀 전략/리스크팀 퀀트(겨울방학 인턴),마이퍼스트에셋자산운용,대한민국,https://kr.indeed.com/viewjob?jk=872035f47cfd4850
AI Research Engineer Intern,Intel,서울,https://kr.indeed.com/viewjob?jk=ad695cb2c767be8b
[외국계 스타트업 미소] Data Analyst,유한회사 미소,서울,https://kr.indeed.com/viewjob?jk=ec5c7ccd76639120
[환경부 제26기] 2022년 물산업 미래인재 양성과정 교육생,한국상하수도협회,서울,https://kr.indeed.com/viewjob?jk=14f19ddfc9e81ee5
"전사 협업 플랫폼(Jira, Confluence, Slack) 운영 담당자 영입",카카오페이,성남 백현동,https://kr.indeed.com/viewjob?jk=05a2b906f5c7b51e
[11번가] 금융플랫폼 Back-End Server 개발 분야,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=3e31e1e9c95db3ed
AI Edge Device 임베디드 SW 개발자,디텍,성남 분당구,https://kr.indeed.com/viewjob?jk=c354016a4b230115
응용소프트웨어 신입 경력 초빙,쿠노소프트,서울 성북구,https://kr.indeed.com/viewjob?jk=8939aa3561d700c2
[잔디소프트] 게임 기획 신입/경력 정규직,잔디소프트,서울 영등포구,https://kr.indeed.com/viewjob?jk=ae0404f85ccc2ddb
